tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-14T16:52:13.000+0000,2016-02-14T17:16:04.000+0000,4.94,19,10282,10171
2016-02-04T18:44:19.000+0000,2016-02-04T18:46:00.000+0000,0.28,3.5,10110,10110
2016-02-17T17:13:57.000+0000,2016-02-17T17:17:55.000+0000,0.7,5,10103,10023
2016-02-18T10:36:07.000+0000,2016-02-18T10:41:45.000+0000,0.8,6,10022,10017
2016-02-22T14:14:41.000+0000,2016-02-22T14:31:52.000+0000,4.51,17,10110,10282
2016-02-05T06:45:02.000+0000,2016-02-05T06:50:26.000+0000,1.8,7,10009,10065
2016-02-15T15:03:28.000+0000,2016-02-15T15:18:45.000+0000,2.58,12,10153,10199
2016-02-25T19:09:26.000+0000,2016-02-25T19:24:50.000+0000,1.4,11,10112,10069
2016-02-13T16:28:18.000+0000,2016-02-13T16:36:36.000+0000,1.21,7.5,10023,10153
2016-02-14T00:03:48.000+0000,2016-02-14T00:10:24.000+0000,0.6,6,10012,10003
2016-02-27T15:02:58.000+0000,2016-02-27T15:08:31.000+0000,2.02,8,10002,11211
2016-02-17T07:52:40.000+0000,2016-02-17T08:01:21.000+0000,1.5,8,10019,10199
2016-02-14T21:55:55.000+0000,2016-02-14T22:01:31.000+0000,0.93,6,10019,10018
2016-02-05T22:27:07.000+0000,2016-02-05T22:39:44.000+0000,2.34,10.5,10110,10014
2016-02-05T09:51:47.000+0000,2016-02-05T09:57:27.000+0000,0.91,5.5,10119,10199
2016-02-21T11:15:39.000+0000,2016-02-21T11:40:24.000+0000,11.6,33.5,10019,11371
2016-02-23T13:20:29.000+0000,2016-02-23T13:36:25.000+0000,1.4,11,10018,10022
2016-02-24T13:07:46.000+0000,2016-02-24T13:26:13.000+0000,2.43,13,10065,10119
2016-02-22T15:12:53.000+0000,2016-02-22T15:22:59.000+0000,1.2,8,10001,10009
2016-02-05T09:40:07.000+0000,2016-02-05T09:49:09.000+0000,1.3,7.5,10003,10013
2016-02-29T19:31:39.000+0000,2016-02-29T19:36:24.000+0000,1.19,6,10029,10028
2016-02-07T15:19:49.000+0000,2016-02-07T15:25:35.000+0000,1.47,6.5,10001,10003
2016-02-08T09:25:42.000+0000,2016-02-08T09:33:34.000+0000,1,7,10065,10154
2016-02-16T14:03:21.000+0000,2016-02-16T14:50:51.000+0000,10.32,39.5,11371,10003
2016-02-24T22:57:26.000+0000,2016-02-24T23:17:47.000+0000,9,26,11371,10110
2016-02-18T19:51:24.000+0000,2016-02-18T19:58:54.000+0000,1.29,7,10031,10030
2016-02-09T02:55:31.000+0000,2016-02-09T03:07:42.000+0000,5.9,18,10018,10030
2016-02-01T18:19:38.000+0000,2016-02-01T18:27:40.000+0000,1.2,7.5,10031,10030
2016-02-19T09:42:39.000+0000,2016-02-19T10:07:16.000+0000,4.29,19.5,10005,10003
2016-02-13T22:23:10.000+0000,2016-02-13T22:42:34.000+0000,3.5,14.5,10103,10012
2016-02-14T16:57:05.000+0000,2016-02-14T17:14:27.000+0000,1.2,11.5,10022,10019
2016-02-04T18:22:21.000+0000,2016-02-04T18:22:36.000+0000,0,52,11422,11422
2016-02-02T20:19:30.000+0000,2016-02-02T20:31:34.000+0000,2.8,11.5,10069,10029
2016-02-29T07:16:34.000+0000,2016-02-29T07:20:51.000+0000,0.7,5,10012,10003
2016-02-11T20:25:22.000+0000,2016-02-11T20:36:05.000+0000,2.66,10.5,10154,11109
